"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         323,      -14.06136416,      -13.93892394,      -14.16942873
          0,           0,         324,      -14.10163989,      -13.96256972,      -14.15288039
          0,           0,         325,       -14.0293104,      -13.89183798,      -14.13135169
          0,           0,         326,      -14.06008961,      -13.91413204,      -14.14058027
          0,           0,         327,       -14.0454916,      -13.92250466,      -14.13866924
          0,           0,         328,      -14.07158095,      -13.95840545,      -14.17583435
          0,           0,         329,      -14.04983915,      -13.93695752,      -14.10931426
          0,           0,         330,       -14.0231811,      -13.90092322,      -14.08624401
          0,           0,         331,      -14.06325219,      -13.92580803,      -14.15517736
          0,           0,         332,       -14.0350483,      -13.89717702,      -14.18515238
          0,           0,         333,      -14.03490347,      -13.91934591,      -14.15233945
          0,           0,         334,      -14.00828229,      -13.89602076,      -14.11947261
          0,           0,         335,      -14.08314343,      -13.95482007,        -14.171924
          0,           0,         336,      -14.00616892,        -13.879001,      -14.13811737
          0,           0,         337,      -14.05119582,      -13.91224852,      -14.15563701
          0,           0,         338,      -14.12088407,      -14.00698122,      -14.17176792
          0,           0,         339,      -13.99713738,      -13.87697121,       -14.2429385
          0,           0,         340,      -14.05737159,      -13.93670759,      -14.12472207
          0,           0,         341,      -14.04240414,      -13.90664215,      -14.13864475
          0,           0,         342,      -14.01966391,      -13.89904679,      -14.17506136
          0,           0,         343,      -14.08584315,       -13.9649448,      -14.17946028
          0,           0,         344,      -14.06375139,      -13.93424177,      -14.16577138
          0,           0,         345,      -14.04585614,      -13.91355386,      -14.17123888
          0,           0,         346,      -14.09832209,      -13.96351665,      -14.14154037
          0,           0,         347,      -14.07078127,      -13.93460384,      -14.19233721
          0,           0,         348,      -13.99450552,      -13.87293765,      -14.13293288
          0,           0,         349,      -14.04387713,      -13.93409128,      -14.18606687
          0,           0,         350,      -13.98301509,      -13.86262674,      -14.14776053
          0,           0,         351,      -14.06475178,      -13.94643433,      -14.17754645
          0,           0,         352,      -13.99790229,      -13.86480284,      -14.08843855
          0,           0,         353,       -14.0363715,      -13.91120087,      -14.13577554
          0,           0,         354,      -14.02793544,      -13.90625378,       -14.1036299
          0,           0,         355,      -14.04665714,      -13.92198933,      -14.09778214
          0,           0,         356,      -14.05018462,      -13.91433173,      -14.15775812
          0,           0,         357,      -14.13084771,      -13.99433994,       -14.1803511
          0,           0,         358,       -14.0287974,      -13.90251536,      -14.16190104
          0,           0,         359,      -14.08094295,      -13.96158939,      -14.19513203
          0,           0,         360,      -14.06114947,      -13.95478975,      -14.21195972
          0,           0,         361,      -14.03800544,      -13.92223747,      -14.13614923
          0,           0,         362,      -14.06479516,      -13.94384102,      -14.15958887
          0,           0,         363,      -14.02338173,      -13.90644749,      -14.13993535
          0,           0,         364,      -14.02257577,      -13.89821284,      -14.21558067
          0,           0,         365,      -14.06596609,      -13.93547017,      -14.14158365
          0,           0,         366,      -13.99665003,       -13.8510613,      -14.11150908
          0,           0,         367,      -14.11118625,      -13.97108651,       -14.2264872
          0,           0,         368,      -14.01197638,      -13.90388172,      -14.12837212
          0,           0,         369,      -14.11613244,      -14.02144417,      -14.17128637
          0,           0,         370,      -14.05901119,       -13.9275555,      -14.07856912
          0,           0,         371,      -13.92690058,      -13.79407815,      -14.07755706
          0,           0,         372,      -14.05031454,      -13.90405522,      -14.16794839
          0,           0,         373,      -14.04177024,      -13.91473545,      -14.11373313
          0,           0,         374,       -14.0509125,      -13.92042615,      -14.11094958
          0,           0,         375,      -14.04866547,      -13.92956066,       -14.1736183
          0,           0,         376,      -14.01377292,      -13.86560015,      -14.11060914
          0,           0,         377,        -14.036257,      -13.89407091,      -14.16142181
          0,           0,         378,      -13.95520026,      -13.84665001,      -14.11976404
          0,           0,         379,      -14.01798822,      -13.90239915,      -14.12935078
          0,           0,         380,      -14.05001367,      -13.91258333,      -14.12909895
          0,           0,         381,      -13.99751933,      -13.86807692,      -14.06558378
          0,           0,         382,      -14.04785441,       -13.9146949,      -14.17135084
          0,           0,         383,      -14.04437341,      -13.91707784,      -14.14384815
          0,           0,         384,      -14.04075878,      -13.91191883,      -14.13888432
          0,           0,         385,      -14.00786142,      -13.88874476,      -14.17429808
          0,           0,         386,      -14.09162996,      -14.00010094,      -14.26110113
          0,           0,         387,      -14.03576716,      -13.93756427,      -14.17797667
          0,           0,         388,      -14.08968847,       -13.9462686,      -14.15240721
          0,           0,         389,      -14.02321779,      -13.89743021,      -14.14490126
          0,           0,         390,      -14.05866386,      -13.91971795,      -14.17471394
          0,           0,         391,      -13.96741859,      -13.84778062,      -14.16671096
          0,           0,         392,      -14.00040764,      -13.88308665,      -14.10216626
          0,           0,         393,      -14.12575057,      -13.99744641,      -14.18064362
          0,           0,         394,       -14.1040122,      -13.97991332,      -14.16307921
          0,           0,         395,      -14.04080959,      -13.91808814,      -14.12320299
          0,           0,         396,      -14.08066037,      -13.97925459,      -14.14489641
          0,           0,         397,      -14.08050788,      -13.96702805,      -14.13658546
          0,           0,         398,      -14.05927282,      -13.94134663,      -14.23791889
          0,           0,         399,      -14.06514171,      -13.94713289,      -14.17001433
          0,           0,         400,      -14.09497314,      -13.96928056,      -14.19232475
          0,           0,         401,      -14.09579417,      -13.98955234,      -14.17762196
          0,           0,         402,      -14.01470836,      -13.90962413,      -14.19733361
          0,           0,         403,      -14.04067356,      -13.91770203,      -14.10183861
          0,           0,         404,      -14.08721121,      -13.95507747,       -14.1243749
          0,           0,         405,      -13.96385089,      -13.83349038,      -14.08184985
          0,           0,         406,      -14.06425495,      -13.93325601,      -14.18913179
          0,           0,         407,      -14.00611193,      -13.87275902,      -14.09451738
          0,           0,         408,      -13.99431617,      -13.86235271,      -14.12843751
          0,           0,         409,       -14.0884257,      -13.95165553,      -14.21926214
          0,           0,         410,      -14.07266065,      -13.93299969,      -14.19939724
          0,           0,         411,      -14.09065547,      -13.95303318,      -14.15335158
          0,           0,         412,      -14.09178269,       -13.9810159,      -14.21605363
          0,           0,         413,      -14.05287105,       -13.9279403,      -14.14170867
          0,           0,         414,      -13.98922114,      -13.85452164,      -14.16281959
          0,           0,         415,      -14.07077537,      -13.96750079,       -14.1969953
